id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'vadere', 'attributesSimulation.fixedSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
179,0,347.0,1.91mW,1011B,"""vadere_Sample__179_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],1239.192541360855,0.0
180,0,347.0,1.91mW,2746B,"""vadere_Sample__180_0""",true,65722447231342458,True,[0.8675],[0.8675],[0.8675],[0.8675],1106.2187812328339,0.0
181,0,510.0,1.91mW,1011B,"""vadere_Sample__181_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],1563.5832524299622,0.0
182,0,510.0,0.67mW,2746B,"""vadere_Sample__182_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],1889.843802690506,0.0
183,0,510.0,1.91mW,2746B,"""vadere_Sample__183_0""",true,65722447231342458,True,[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],[1.2750000000000001],1277.3257887363434,0.0
184,0,10.0,1.42mW,3011B,"""vadere_Sample__184_0""",true,65722447231342458,True,[0.025],[0.025],[0.025],[0.025],181.52435731887817,0.0
185,0,87.0,1.42mW,3011B,"""vadere_Sample__185_0""",true,65722447231342458,True,[0.2175],[0.2175],[0.2175],[0.2175],325.7166621685028,0.0
186,0,10.0,1.42mW,746B,"""vadere_Sample__186_0""",true,65722447231342458,True,[0.025],[0.025],[0.025],[0.025],105.78945708274841,0.0
187,0,10.0,1.16mW,3011B,"""vadere_Sample__187_0""",true,65722447231342458,True,[0.025],[0.025],[0.025],[0.025],187.1217873096466,0.0
188,0,10.0,1.16mW,746B,"""vadere_Sample__188_0""",true,65722447231342458,True,[0.025],[0.025],[0.025],[0.025],115.14584946632385,0.0
