,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
83,0,807.0,1.25mW,2202B,"""vadere_Sample__83_0""",true,65722447231342458,True,[2.0175],[2.0175],[2.0175],[2.0175]
84,0,807.0,1.25mW,1870B,"""vadere_Sample__84_0""",true,65722447231342458,True,[2.0175],[2.0175],[2.0175],[2.0175]
85,0,124.0,1.25mW,2202B,"""vadere_Sample__85_0""",true,65722447231342458,True,[0.31],[0.31],[0.31],[0.31]
86,0,124.0,0.95mW,1870B,"""vadere_Sample__86_0""",true,65722447231342458,True,[0.31],[0.31],[0.31],[0.31]
87,0,124.0,1.25mW,1870B,"""vadere_Sample__87_0""",true,65722447231342458,True,[0.31],[0.31],[0.31],[0.31]
88,0,193.0,1.7mW,4702B,"""vadere_Sample__88_0""",true,65722447231342458,True,[0.4825],[0.4825],[0.4825],[0.4825]
89,0,601.0,1.7mW,4702B,"""vadere_Sample__89_0""",true,65722447231342458,True,[1.5025],[1.5025],[1.5025],[1.5025]
90,0,193.0,1.7mW,4370B,"""vadere_Sample__90_0""",true,65722447231342458,True,[0.4825],[0.4825],[0.4825],[0.4825]
91,0,193.0,0.5mW,4702B,"""vadere_Sample__91_0""",true,65722447231342458,True,[0.4825],[0.4825],[0.4825],[0.4825]
92,0,193.0,0.5mW,4370B,"""vadere_Sample__92_0""",true,65722447231342458,True,[0.4825],[0.4825],[0.4825],[0.4825]
93,0,601.0,0.5mW,4702B,"""vadere_Sample__93_0""",true,65722447231342458,True,[1.5025],[1.5025],[1.5025],[1.5025]
94,0,601.0,1.7mW,4370B,"""vadere_Sample__94_0""",true,65722447231342458,True,[1.5025],[1.5025],[1.5025],[1.5025]
95,0,601.0,0.5mW,4370B,"""vadere_Sample__95_0""",true,65722447231342458,True,[1.5025],[1.5025],[1.5025],[1.5025]
96,0,290.0,1.51mW,1577B,"""vadere_Sample__96_0""",true,65722447231342458,True,[0.725],[0.725],[0.725],[0.725]
97,0,433.0,1.51mW,1577B,"""vadere_Sample__97_0""",true,65722447231342458,True,[1.0825],[1.0825],[1.0825],[1.0825]
98,0,290.0,1.51mW,4995B,"""vadere_Sample__98_0""",true,65722447231342458,True,[0.725],[0.725],[0.725],[0.725]
99,0,290.0,1.06mW,1577B,"""vadere_Sample__99_0""",true,65722447231342458,True,[0.725],[0.725],[0.725],[0.725]
100,0,290.0,1.06mW,4995B,"""vadere_Sample__100_0""",true,65722447231342458,True,[0.725],[0.725],[0.725],[0.725]
101,0,433.0,1.06mW,1577B,"""vadere_Sample__101_0""",true,65722447231342458,True,[1.0825],[1.0825],[1.0825],[1.0825]
102,0,433.0,1.51mW,4995B,"""vadere_Sample__102_0""",true,65722447231342458,True,[1.0825],[1.0825],[1.0825],[1.0825]
103,0,433.0,1.06mW,4995B,"""vadere_Sample__103_0""",true,65722447231342458,True,[1.0825],[1.0825],[1.0825],[1.0825]
104,0,1275.0,0.76mW,4077B,"""vadere_Sample__104_0""",true,65722447231342458,True,[3.1875],[3.1875],[3.1875],[3.1875]
105,0,52.0,0.76mW,4077B,"""vadere_Sample__105_0""",true,65722447231342458,True,[0.13],[0.13],[0.13],[0.13]
106,0,1275.0,0.76mW,2495B,"""vadere_Sample__106_0""",true,65722447231342458,True,[3.1875],[3.1875],[3.1875],[3.1875]
107,0,1275.0,1.81mW,4077B,"""vadere_Sample__107_0""",true,65722447231342458,True,[3.1875],[3.1875],[3.1875],[3.1875]
108,0,1275.0,1.81mW,2495B,"""vadere_Sample__108_0""",true,65722447231342458,True,[3.1875],[3.1875],[3.1875],[3.1875]
109,0,52.0,1.81mW,4077B,"""vadere_Sample__109_0""",true,65722447231342458,True,[0.13],[0.13],[0.13],[0.13]
110,0,52.0,0.76mW,2495B,"""vadere_Sample__110_0""",true,65722447231342458,True,[0.13],[0.13],[0.13],[0.13]
111,0,52.0,1.81mW,2495B,"""vadere_Sample__111_0""",true,65722447231342458,True,[0.13],[0.13],[0.13],[0.13]
112,0,570.0,1.89mW,327B,"""vadere_Sample__112_0""",true,65722447231342458,True,[1.425],[1.425],[1.425],[1.425]
113,0,857.0,1.89mW,327B,"""vadere_Sample__113_0""",true,65722447231342458,True,[2.1425],[2.1425],[2.1425],[2.1425]
114,0,570.0,1.89mW,1245B,"""vadere_Sample__114_0""",true,65722447231342458,True,[1.425],[1.425],[1.425],[1.425]
115,0,570.0,1.44mW,327B,"""vadere_Sample__115_0""",true,65722447231342458,True,[1.425],[1.425],[1.425],[1.425]
116,0,570.0,1.44mW,1245B,"""vadere_Sample__116_0""",true,65722447231342458,True,[1.425],[1.425],[1.425],[1.425]
117,0,857.0,1.44mW,327B,"""vadere_Sample__117_0""",true,65722447231342458,True,[2.1425],[2.1425],[2.1425],[2.1425]
118,0,857.0,1.89mW,1245B,"""vadere_Sample__118_0""",true,65722447231342458,True,[2.1425],[2.1425],[2.1425],[2.1425]
119,0,857.0,1.44mW,1245B,"""vadere_Sample__119_0""",true,65722447231342458,True,[2.1425],[2.1425],[2.1425],[2.1425]
120,0,112.0,1.14mW,2827B,"""vadere_Sample__120_0""",true,65722447231342458,True,[0.28],[0.28],[0.28],[0.28]
121,0,207.0,1.14mW,2827B,"""vadere_Sample__121_0""",true,65722447231342458,True,[0.5175],[0.5175],[0.5175],[0.5175]
122,0,112.0,1.14mW,3745B,"""vadere_Sample__122_0""",true,65722447231342458,True,[0.28],[0.28],[0.28],[0.28]
123,0,112.0,0.69mW,2827B,"""vadere_Sample__123_0""",true,65722447231342458,True,[0.28],[0.28],[0.28],[0.28]
124,0,112.0,0.69mW,3745B,"""vadere_Sample__124_0""",true,65722447231342458,True,[0.28],[0.28],[0.28],[0.28]
125,0,207.0,0.69mW,2827B,"""vadere_Sample__125_0""",true,65722447231342458,True,[0.5175],[0.5175],[0.5175],[0.5175]
126,0,207.0,1.14mW,3745B,"""vadere_Sample__126_0""",true,65722447231342458,True,[0.5175],[0.5175],[0.5175],[0.5175]
127,0,207.0,0.69mW,3745B,"""vadere_Sample__127_0""",true,65722447231342458,True,[0.5175],[0.5175],[0.5175],[0.5175]
128,0,76.0,1.98mW,1889B,"""vadere_Sample__128_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
129,0,20.0,1.98mW,1889B,"""vadere_Sample__129_0""",true,65722447231342458,True,[0.05],[0.05],[0.05],[0.05]
130,0,76.0,1.98mW,307B,"""vadere_Sample__130_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
131,0,76.0,0.6mW,1889B,"""vadere_Sample__131_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
132,0,76.0,0.6mW,307B,"""vadere_Sample__132_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
133,0,20.0,0.6mW,1889B,"""vadere_Sample__133_0""",true,65722447231342458,True,[0.05],[0.05],[0.05],[0.05]
134,0,20.0,1.98mW,307B,"""vadere_Sample__134_0""",true,65722447231342458,True,[0.05],[0.05],[0.05],[0.05]
135,0,20.0,0.6mW,307B,"""vadere_Sample__135_0""",true,65722447231342458,True,[0.05],[0.05],[0.05],[0.05]
136,0,484.0,1.23mW,4389B,"""vadere_Sample__136_0""",true,65722447231342458,True,[1.21],[1.21],[1.21],[1.21]
137,0,366.0,1.23mW,4389B,"""vadere_Sample__137_0""",true,65722447231342458,True,[0.915],[0.915],[0.915],[0.915]
138,0,484.0,1.23mW,2807B,"""vadere_Sample__138_0""",true,65722447231342458,True,[1.21],[1.21],[1.21],[1.21]
139,0,484.0,1.35mW,4389B,"""vadere_Sample__139_0""",true,65722447231342458,True,[1.21],[1.21],[1.21],[1.21]
140,0,484.0,1.35mW,2807B,"""vadere_Sample__140_0""",true,65722447231342458,True,[1.21],[1.21],[1.21],[1.21]
141,0,366.0,1.35mW,4389B,"""vadere_Sample__141_0""",true,65722447231342458,True,[0.915],[0.915],[0.915],[0.915]
