id run_id numberOfAgents Power Traffic timeToInform
169 0 254.0 1.79 2011.0 32.3999999999999
170 0 675.0 1.79 3746.0 2.8
171 0 675.0 1.53 2011.0 3.6
172 0 675.0 1.53 3746.0 2.8
173 0 254.0 1.53 2011.0 3.6
174 0 254.0 1.79 3746.0 8.8
175 0 254.0 1.53 3746.0 5.6
176 0 347.0 0.67 1011.0 3.6
177 0 510.0 0.67 1011.0 4.8
178 0 347.0 0.67 2746.0 3.6
179 0 347.0 1.91 1011.0 5.6
180 0 347.0 1.91 2746.0 4.8
181 0 510.0 1.91 1011.0 4.8
182 0 510.0 0.67 2746.0 5.6
183 0 510.0 1.91 2746.0 3.6
184 0 10.0 1.42 3011.0 69.19999999999989
185 0 87.0 1.42 3011.0 8.8
186 0 10.0 1.42 746.0 69.19999999999989
187 0 10.0 1.16 3011.0 69.19999999999989
188 0 10.0 1.16 746.0 69.19999999999989
189 0 87.0 1.16 3011.0 4.4
190 0 87.0 1.42 746.0 6.4
191 0 87.0 1.16 746.0 6.8
192 0 11.0 1.17 1505.0 14.8
193 0 333.0 1.17 1505.0 3.6
194 0 11.0 1.17 2228.0 14.8
195 0 11.0 1.77 1505.0 14.8
196 0 11.0 1.77 2228.0 14.8
197 0 333.0 1.77 1505.0 4.0
198 0 333.0 1.17 2228.0 4.8
199 0 333.0 1.77 2228.0 4.8
200 0 347.0 1.92 3505.0 3.6
201 0 1734.0 1.92 3505.0 4.8
202 0 347.0 1.92 228.0 5.6
203 0 347.0 1.02 3505.0 10.8
204 0 347.0 1.02 228.0 3.6
205 0 1734.0 1.02 3505.0 4.0
206 0 1734.0 1.92 228.0 3.6
207 0 1734.0 1.02 228.0 2.8
208 0 676.0 0.8 505.0 4.8
209 0 142.0 0.8 505.0 4.0
210 0 676.0 0.8 1228.0 3.6
211 0 676.0 0.64 505.0 4.8
212 0 676.0 0.64 1228.0 4.8
213 0 142.0 0.64 505.0 4.8
214 0 142.0 0.8 1228.0 6.4
215 0 142.0 0.64 1228.0 5.2
216 0 151.0 1.55 2505.0 2.8
217 0 649.0 1.55 2505.0 4.8
218 0 151.0 1.55 3228.0 7.6
219 0 151.0 1.39 2505.0 10.8
220 0 151.0 1.39 3228.0 8.8
221 0 649.0 1.39 2505.0 5.6
222 0 649.0 1.55 3228.0 4.8
223 0 649.0 1.39 3228.0 4.8
224 0 240.0 1.73 5.0 3.6
225 0 467.0 1.73 5.0 3.6
226 0 240.0 1.73 3728.0 4.8
227 0 240.0 1.95 5.0 4.0
228 0 240.0 1.95 3728.0 8.8
229 0 467.0 1.95 5.0 4.8
230 0 467.0 1.73 3728.0 3.6
231 0 467.0 1.95 3728.0 4.8
232 0 990.0 0.98 2005.0 3.6
233 0 68.0 0.98 2005.0 17.2
234 0 990.0 0.98 1728.0 4.8
235 0 990.0 1.2 2005.0 3.6
